Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Muscle_Temp2_°C_,TSLP,Group_22C vs Group_15C (Reference),-11.67047724193636,0.06805004589696612,-24.206250229689083,0.8652957458163613,0.17959023604948665,0.008671535226463134,2.367105681820314,0.6547704979016242,-9.303371560116046,0.009543133250537572,0.502221308031332,0.9289727505969827,0.9983944120778494,False
Muscle_Temp1_°C_,IL-10,Group_8C vs Group_22C Contrast,1.8333614824818083,0.07226084326062485,-0.1657740072689402,3.8324969722325566,0.3961439537683783,0.27034061080345717,-0.018352558452506388,0.9809982705916368,-2.4696332702268977,9.470202400052585e-13,-0.6362717877450891,0.5072453447381815,0.9983944120778494,False
Core_Temp_°C_,Osteocalcin,Group_8C vs Group_15C (Reference),-1761.914617519318,0.08383340955733355,-3759.3469612517083,235.5177262130726,0.125448994537269,-0.056749131600799974,668.9032379714316,0.40616375614312183,-378.81776785261866,0.7207527258946818,-1093.0113795478865,0.0801383627986949,0.9983944120778494,False
Core_Temp_°C_,TWEAK_per_TNFSF12,Group_8C vs Group_15C (Reference),-153.1662300606174,0.08870731588117078,-329.52056549839006,23.18810537715521,0.14866475425481518,-0.028696755275431585,50.972374338543624,0.29886747205473374,-39.44091278191815,0.5995911981249422,-102.19385572207378,0.17543796318916005,0.9983944120778494,False
Mean_Body_Temp_°C_,MMP-1,Group_22C vs Group_15C (Reference),-1332.8838976945065,0.09374179148831381,-2891.614848604059,225.8470532150459,0.3942051023307429,0.2679978319829811,842.3342982499979,0.0007238231280414187,-490.54959944450854,0.5159969904799049,-517.1930489768505,0.08860512169118318,0.9983944120778494,False
Muscle_Temp1_°C_,TSLP,Group_8C vs Group_22C Contrast,10.580418488693951,0.09550272928109435,-1.8592274490784426,23.020064426466345,0.18452336369674271,0.014632397800230845,-0.1406314162795695,0.963155507271565,-8.891593196719885,0.00042819969194485274,1.6888252919740663,0.7717981499327264,0.9983944120778494,False
Core_Temp_°C_,BAFF_per_TNFSF13B,Group_22C vs Group_15C (Reference),-1177.134057524683,0.09593572564485535,-2562.8997568251843,208.6316417758187,0.16797962925436516,-0.005357947984308664,1053.7504021888615,0.004985027245931489,-123.38365533582146,0.8368657608169057,-396.95669456356586,0.2690439550092505,0.9983944120778494,False
Muscle_Temp3_°C_,IFN-a2,Group_8C vs Group_15C (Reference),9.197813335887744,0.09890829678445068,-1.7267517708992415,20.12237844267473,0.27318311629496594,0.12176293218975054,-8.13041371829691,0.03465102371604307,-0.7659672346782065,0.921896961853941,1.0673996175908336,0.791197419778032,0.9983944120778494,False
Core_Temp_°C_,MMP-1,Group_8C vs Group_15C (Reference),-978.3433035123793,0.1033594583103649,-2155.6151581765903,198.92855115183158,0.2310523635439522,0.0708549392822756,871.2157337088403,0.0010311652656237794,-407.98123369479424,0.6593276213034835,-107.12756980353902,0.8424031691799798,0.9983944120778494,False
Mean_Body_Temp_°C_,Chitinase_3-like1,Group_22C vs Group_15C (Reference),-1481.1838699030761,0.10500736407894909,-3272.042129745981,309.67438993982887,0.1925644482108082,0.02434870825472668,858.3846492268168,0.2624190587669557,-622.7992206762593,0.21127654459718404,51.705046051814975,0.929413240554277,0.9983944120778494,False
