TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
.,8°C,X10min - X2hrs,0.26618236800000106,0.6145707059471275,27.0,0.43311919267252086,0.6683686690958455,Within-Group,Threonine,0.9995801204593276,False
X10min,.,15°C - 22°C,0.8098130173999996,0.7890658365472599,27.0,1.0262933457409888,0.31386061368659923,Between-Group,Tryptophan,0.9587581238028823,False
X10min,.,15°C - 8°C,0.4904820223999994,0.78906583654726,27.0,0.6215983504573165,0.5394194826785261,Between-Group,Tryptophan,0.9979364913093677,False
X10min,.,22°C - 8°C,-0.3193309950000002,0.78906583654726,27.0,-0.4046949952836721,0.6888900536708646,Between-Group,Tryptophan,0.9995801204593276,False
X2hrs,.,15°C - 22°C,-0.1981906803000006,0.7438802535915781,27.0,-0.26642820446315507,0.7919336398513709,Between-Group,Tryptophan,0.9995801204593276,False
X2hrs,.,15°C - 8°C,1.0075935507999993,0.7438802535915781,27.0,1.3545104147275981,0.18680102713481805,Between-Group,Tryptophan,0.9458107478379616,False
X2hrs,.,22°C - 8°C,1.2057842310999998,0.7438802535915781,27.0,1.620938619190753,0.11665269529590314,Between-Group,Tryptophan,0.8332697516777737,False
.,15°C,X10min - X2hrs,-0.1603048524999992,0.6585592318360133,27.0,-0.24341751622413887,0.8095219300561527,Within-Group,Tryptophan,0.9995801204593276,False
.,22°C,X10min - X2hrs,-1.1683085501999995,0.6585592318360132,27.0,-1.774037161308701,0.0873364674111184,Within-Group,Tryptophan,0.791489245095708,False
.,8°C,X10min - X2hrs,0.35680667590000065,0.6585592318360133,27.0,0.5417989129166874,0.5924005490656679,Within-Group,Tryptophan,0.9979364913093677,False
X10min,.,15°C - 22°C,1.528993844599998,0.777290510648612,27.0,1.9670815784488676,0.059527777512956945,Between-Group,Tyrosine,0.7650685341259711,False
X10min,.,15°C - 8°C,-0.053255293300000894,0.7772905106486121,27.0,-0.0685140144777554,0.9458813540138553,Between-Group,Tyrosine,0.9995801204593276,False
X10min,.,22°C - 8°C,-1.582249137899999,0.7772905106486121,27.0,-2.0355955929266227,0.051713331110998885,Between-Group,Tyrosine,0.7650685341259711,False
X2hrs,.,15°C - 22°C,0.2832669844999999,0.3675981009237718,27.0,0.7705888136749119,0.44764159443324003,Between-Group,Tyrosine,0.9748246327115793,False
X2hrs,.,15°C - 8°C,0.30358029469999975,0.3675981009237718,27.0,0.8258483760854702,0.4161281129361085,Between-Group,Tyrosine,0.9639481585472424,False
X2hrs,.,22°C - 8°C,0.020313310199999907,0.3675981009237718,27.0,0.05525956241055838,0.9563385638076272,Between-Group,Tyrosine,0.9995801204593276,False
.,15°C,X10min - X2hrs,-0.2821622697000018,0.5864206513966022,27.0,-0.4811601859996104,0.634279186050189,Within-Group,Tyrosine,0.9979364913093677,False
.,22°C,X10min - X2hrs,-1.5278891298000001,0.5864206513966022,27.0,-2.60544905122496,0.01474603324892074,Within-Group,Tyrosine,0.6290101284366936,False
.,8°C,X10min - X2hrs,0.07467331829999882,0.5864206513966022,27.0,0.12733746351217176,0.8996169531453692,Within-Group,Tyrosine,0.9995801204593276,False
X10min,.,15°C - 22°C,1.2307237433999991,0.5711653422295135,27.0,2.154759143115957,0.040262050901724744,Between-Group,Valine,0.7296680224763044,False
X10min,.,15°C - 8°C,0.4945817780999989,0.5711653422295135,27.0,0.8659169972908812,0.39416528204819534,Between-Group,Valine,0.9639481585472424,False
X10min,.,22°C - 8°C,-0.7361419653000002,0.5711653422295135,27.0,-1.288842145825076,0.20838699175365716,Between-Group,Valine,0.9583024215269884,False
